Sample,Axis1,Axis2,Pop
BE1_1,12.4088818,-21.05474074,BE1
BE1_2,11.64844539,-18.26737128,BE1
BE1_3,3.86868225,-12.19744228,BE1
BE1_4,13.62831419,-22.94706252,BE1
BE1_5,14.36980244,-24.06309303,BE1
BE1_6,6.73189349,-11.26763995,BE1
BE1_7,13.67636976,-23.61983211,BE1
BE1_8,12.5484727,-20.3570505,BE1
BE1_9,9.21672265,-17.47815511,BE1
CO1_1,10.97666139,-15.4047074,CO1
CO1_2,9.97761692,-13.95049578,CO1
CO1_3,1.59696875,-4.349468673,CO1
CO1_4,10.93744667,-16.41716569,CO1
CO1_5,10.98155428,-16.43924247,CO1
CO1_6,11.03596464,-16.75565006,CO1
CO1_7,5.02035243,-6.491658799,CO1
CO1_8,10.79217033,-15.94494929,CO1
CO1_9,-0.20640335,-4.851351586,CO1
CR1_1,14.90328839,-1.547447764,CR1
CR1_10,15.55757474,-0.419138463,CR1
CR1_10A,16.2517513,-0.814772741,CR1
CR1_11,15.09593311,-0.841583205,CR1
CR1_12,15.45369555,-1.754133683,CR1
CR1_12A,4.75170265,-1.46362922,CR1
CR1_1A,10.74570516,-2.096414755,CR1
CR1_2,2.54606313,-0.143183787,CR1
CR1_2A,17.85794088,-1.691287811,CR1
CR1_3,16.38782995,-1.758865541,CR1
CR1_4,13.36878114,-1.982718808,CR1
CR1_5,10.43994754,-2.297651575,CR1
CR1_6,0.99444764,-0.224668782,CR1
CR1_7,17.84902991,-1.260986062,CR1
CR1_8,12.9336644,-0.528260276,CR1
CR1_8A,8.93593301,-1.241283203,CR1
CR1_9,2.38034669,-0.647575327,CR1
DC1_1,0.69749753,1.204610248,DC1
DC1_2,-0.27724143,1.687124548,DC1
DC1_3,-1.88985266,2.146516971,DC1
DC1_4,-0.09239262,1.888378611,DC1
DC1_5,0.14304169,1.401323669,DC1
DF8_1,19.0345874,22.45443103,DF8
DF8_2,17.80661683,19.47065673,DF8
DF8_3,11.51498545,6.35959964,DF8
DF8_4,17.22936805,21.96418382,DF8
DF8_5,13.55393741,15.28948705,DF8
DF8_6,7.05154993,4.346707228,DF8
DF8_7,13.19966135,14.23663501,DF8
DF8_8,2.40743031,1.710899635,DF8
DF8_9,13.82446529,14.72329105,DF8
FL2_1,9.80814751,11.45749653,FL2
FL2_2,21.01858212,24.43604483,FL2
FL2_3,15.33111375,14.47473457,FL2
FL2_4,17.52767642,17.71802795,FL2
FL7_1,17.40113196,17.81933259,FL7
FL7_10,14.40723209,13.45307766,FL7
FL7_11,7.20854596,5.826430516,FL7
FL7_2,17.56618436,20.26655795,FL7
FL7_3,3.07071066,3.421352783,FL7
FL7_4,16.78598702,18.01972898,FL7
FL7_5,16.38128895,17.94506623,FL7
FL7_7,9.18709646,11.15092192,FL7
FL7_8,11.60893318,11.94133706,FL7
FL7_9,2.20671366,-0.187877213,FL7
HC1_1,-7.21171627,1.229013098,HC1
HC1_2,-11.87461131,0.796046293,HC1
HC1_3,-24.97331967,1.845052885,HC1
HC1_4,-15.7276122,0.163511629,HC1
HC1_5,-26.56669432,1.822156146,HC1
HC1_6,-29.15796598,1.687759652,HC1
HC1_7,-24.80379333,1.593650694,HC1
HC1_8,-5.36342341,1.350013014,HC1
HC1_9,-23.012779,1.040181759,HC1
LC1_1,15.45789169,-14.11280497,LC1
LC1_10,7.67412062,-8.309589786,LC1
LC1_11,13.99433712,-12.53275091,LC1
LC1_2,12.9091549,-12.34001611,LC1
LC1_3,2.99900455,-5.127571994,LC1
LC1_4,11.79074346,-10.12672981,LC1
LC1_5,3.55469745,-5.442113677,LC1
LC1_6,12.88312901,-11.52506514,LC1
LC1_7,12.77699438,-10.48509472,LC1
LC1_8,16.86712127,-19.26968793,LC1
LC1_9,3.25165457,-3.902163383,LC1
MC1_1,-3.80602971,0.449423062,MC1
MC1_2,-12.29357903,1.17581791,MC1
MC1_4,-5.04101196,-1.285113622,MC1
MF1_1,16.72988181,9.538946711,MF1
MF1_10,17.73731055,10.24511836,MF1
MF1_2,17.20078986,10.18108328,MF1
MF1_3,17.22852328,10.56583937,MF1
MF1_4,18.51889226,11.7552835,MF1
MF1_5,17.72789658,10.25944059,MF1
MF1_6,9.40976523,5.446346997,MF1
MF1_7,9.199526,7.243754388,MF1
MF1_8,21.61632864,15.24519907,MF1
MF1_9,16.27230708,9.508119832,MF1
MF5_1,15.79841142,1.6291585,MF5
MF5_2,16.97125992,2.469699164,MF5
MF5_3,16.23433418,2.311725178,MF5
MF5_5,14.68236256,2.475687508,MF5
MF8_1,15.26245429,0.959602016,MF8
MF8_2,8.82301093,0.680344224,MF8
MF8_3,14.65238189,0.431707874,MF8
MF8_4,17.19021295,1.758422277,MF8
MF8_5,16.61386362,0.806873315,MF8
MF8_6,16.7743449,1.331654046,MF8
MF8_7,18.75231317,1.613039917,MF8
MF8_8,16.83842306,1.018511287,MF8
MF8_9,17.30888217,1.346707948,MF8
PA1_1,0.0731117,-1.639560769,PA1
PA1_10,-18.9884311,1.423489877,PA1
PA1_12,-19.00792444,1.263660126,PA1
PA1_2,-19.25085471,2.008991152,PA1
PA1_3,-21.81338102,1.588551991,PA1
PA1_4,-9.55600694,-2.593451837,PA1
PA1_5,-18.26260359,1.113987104,PA1
PA1_6,-20.82401718,1.740023467,PA1
PA1_7,-5.11064223,-1.552393042,PA1
PA1_8,-21.44638051,1.845364943,PA1
PA1_9,-18.24510111,2.211133682,PA1
PC1_1,-23.74919864,2.565468788,PC1
PC1_2,-23.03386439,2.046532321,PC1
PC1_3,-22.342881,2.604120425,PC1
PC1_4,-22.41014574,2.05298071,PC1
PC1_5,-22.87612143,1.976563335,PC1
PC1_6,-25.45810617,2.800723085,PC1
PC1_7,-21.5923641,2.220716203,PC1
PC1_8,-22.69419825,2.604237936,PC1
PC1_9,-2.3653782,0.763496787,PC1
PR1_1,-18.40692079,0.965434895,PR1
PR1_10,-17.75514923,0.80350279,PR1
PR1_11,-23.3193405,2.229952391,PR1
PR1_12,-16.44853763,1.252800688,PR1
PR1_13,-19.33173971,1.450495634,PR1
PR1_14,-19.08900373,1.529486311,PR1
PR1_15,-19.80892305,1.448180051,PR1
PR1_16,-18.67682757,1.388707758,PR1
PR1_2,-19.45252831,1.050227629,PR1
PR1_3,-16.78300877,0.593760182,PR1
PR1_4,-7.68114881,-0.614686992,PR1
PR1_5,-19.03160757,0.960055513,PR1
PR1_6,-19.99757639,1.623046702,PR1
PR1_7,-7.40374587,-2.168878029,PR1
PR2_1,-20.27977958,1.702859294,PR2
PR2_2,-18.1330755,1.667079864,PR2
